"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","25"
"Hanno compilato il questionario","9"
"Tasso di compilazione","36.0"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","80.0"
"Donne","20.0"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","24.0"
"25-26 anni","44.0"
"27 anni e oltre","32.0"
"Età alla laurea (medie, in anni)","26.8"
"Cittadini stranieri (%) ","60.0"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","16.0"
"Altra provincia della stessa regione","12.0"
"Altra regione","16.0"
"Estero","56.0"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","33.3"
"Entrambi con laurea","11.1"
"Uno solo con laurea","22.2"
"Nessun genitore laureato","66.7"
"Diploma di scuola secondaria di secondo grado","44.4"
"Qualifica professionale, titolo inferiore o nessun titolo","22.2"
"Classe sociale (%) "," "
"Classe elevata","11.1"
"Classe media impiegatizia","66.7"
"Classe media autonoma","22.2"
"Classe del lavoro esecutivo","-"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","24.0"
"Liceo classico","-"
"Liceo linguistico","-"
"Liceo scientifico","24.0"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","16.0"
"Tecnico economico","16.0"
"Tecnico tecnologico","-"
"Professionale","-"
"Titolo estero","44.0"
"Voto di diploma (medie, in 100-mi) ","87.3"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","20.0"
"In una provincia limitrofa","24.0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","-"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","-"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","-"
"All'estero","56.0"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","100.0"
"Altro titolo italiano","-"
"Titolo estero","-"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso Ateneo della laurea magistrale","100.0"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","-"
"Altro Ateneo del Sud-Isole","-"
"Altro Ateneo italiano telematico","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano) "," "
"In corso","22.2"
"1° anno fuori corso","44.4"
"2° anno fuori corso e oltre","33.3"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","98.2"
"Motivazioni molto importanti nella scelta del corso di laurea magistrale (%) "," "
"Fattori sia culturali sia professionalizzanti","66.7"
"Fattori prevalentemente culturali","11.1"
"Fattori prevalentemente professionalizzanti","22.2"
"Né gli uni né gli altri","-"
"Età all'immatricolazione (%) "," "
"Regolare o 1 anno di ritardo","48.0"
"2 o più anni di ritardo","52.0"
"Punteggio degli esami (medie, in 30-mi) ","26.6"
"Voto di laurea (medie, in 110-mi) ","108.0"
"Regolarità negli studi  "," "
"In corso","88.0"
"1° anno fuori corso","12.0"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Durata degli studi (medie, in anni) ","2.1"
"Ritardo alla laurea (medie, in anni) ","0.1"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ","0.03"
"5. CONDIZIONI DI STUDIO"
"",""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%) "," "
"Più del 50% della durata degli studi","88.9"
"Meno del 50%","11.1"
"Hanno frequentato regolarmente (%) "," "
"Più del 75% degli insegnamenti previsti","88.9"
"Tra il 50% e il 75%","11.1"
"Tra il 25% e il 50%","-"
"Meno del 25%","-"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio ","33.3"
"Hanno svolto periodi di studio all'estero durante il corso magistrale (%) ","-"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio","-"
"Con Erasmus o altro programma dell'Unione Europea","-"
"Altra esperienza riconosciuta dal corso di studio","-"
"Hanno svolto periodi di studio all’estero riconosciuti solo nel precedente corso di studio ","-"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","-"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea magistrale (%) ","77.8"
"Tirocini curriculari organizzati dal corso e svolti presso l'università","55.6"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università","11.1"
"Attività di lavoro successivamente riconosciute dal corso","11.1"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti solo nel precedente corso di studio ","-"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)","4.0"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"",""
"Hanno avuto esperienze di lavoro (%) ","11.1"
"Lavoratori-studenti","-"
"Altre esperienze di lavoro con continuità a tempo pieno","11.1"
"Lavoro a tempo parziale","-"
"Lavoro occasionale, saltuario, stagionale","-"
"Nessuna esperienza di lavoro","88.9"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)","100.0"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"",""
"Sono complessivamente soddisfatti del corso di laurea magistrale (%)"," "
"Decisamente sì","66.7"
"Più sì che no","33.3"
"Più no che sì","-"
"Decisamente no","-"
"Sono soddisfatti dei rapporti con i docenti in generale (%)"," "
"Decisamente sì","66.7"
"Più sì che no","33.3"
"Più no che sì","-"
"Decisamente no","-"
"Sono soddisfatti dei rapporti con gli studenti (%)"," "
"Decisamente sì","77.8"
"Più sì che no","11.1"
"Più no che sì","11.1"
"Decisamente no","-"
"Hanno utilizzato le aule (%) ","100.0"
"Valutazione delle aule (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","11.1"
"Spesso adeguate","77.8"
"Raramente adeguate","-"
"Mai adeguate","11.1"
"Hanno utilizzato le postazioni informatiche (%) ","77.8"
"Non le hanno utilizzate nonostante fossero presenti","22.2"
"Non le hanno utilizzate in quanto non presenti","-"
"Valutazione delle postazioni informatiche (per 100 fruitori)"," "
"In numero adeguato","100.0"
"In numero inadeguato","-"
