"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","47"
"Hanno compilato il questionario","45"
"Tasso di compilazione","95.7"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","87.2"
"Donne","12.8"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","57.4"
"25-26 anni","27.7"
"27 anni e oltre","14.9"
"Età alla laurea (medie, in anni)","25.6"
"Cittadini stranieri (%) ","12.8"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","48.9"
"Altra provincia della stessa regione","17.0"
"Altra regione","23.4"
"Estero","10.6"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","48.9"
"Entrambi con laurea","17.8"
"Uno solo con laurea","31.1"
"Nessun genitore laureato","51.1"
"Diploma di scuola secondaria di secondo grado","40.0"
"Qualifica professionale, titolo inferiore o nessun titolo","11.1"
"Classe sociale (%) "," "
"Classe elevata","31.1"
"Classe media impiegatizia","35.6"
"Classe media autonoma","17.8"
"Classe del lavoro esecutivo","15.6"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","80.9"
"Liceo classico","4.3"
"Liceo linguistico","-"
"Liceo scientifico","76.6"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","8.5"
"Tecnico economico","2.1"
"Tecnico tecnologico","6.4"
"Professionale","-"
"Titolo estero","10.6"
"Voto di diploma (medie, in 100-mi) ","85.1"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","42.6"
"In una provincia limitrofa","19.1"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","4.3"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","21.3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","2.1"
"All'estero","10.6"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","91.1"
"Altro titolo italiano","2.2"
"Titolo estero","6.7"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano) "," "
"Stesso Ateneo della laurea magistrale","85.4"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","12.2"
"Altro Ateneo del Sud-Isole","2.4"
"Altro Ateneo italiano telematico","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano) "," "
"In corso","68.3"
"1° anno fuori corso","19.5"
"2° anno fuori corso e oltre","12.2"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","102.9"
