"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","69"
"Hanno compilato il questionario","61"
"Tasso di compilazione","88.4"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","82.6"
"Donne","17.4"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","47.8"
"25-26 anni","33.3"
"27 anni e oltre","18.8"
"Età alla laurea (medie, in anni)","25.6"
"Cittadini stranieri (%) ","13.0"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","60.9"
"Altra provincia della stessa regione","24.6"
"Altra regione","10.1"
"Estero","4.3"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","39.3"
"Entrambi con laurea","14.8"
"Uno solo con laurea","24.6"
"Nessun genitore laureato","60.7"
"Diploma di scuola secondaria di secondo grado","45.9"
"Qualifica professionale, titolo inferiore o nessun titolo","14.8"
"Classe sociale (%) "," "
"Classe elevata","23.0"
"Classe media impiegatizia","32.8"
"Classe media autonoma","19.7"
"Classe del lavoro esecutivo","23.0"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","72.5"
"Liceo classico","7.2"
"Liceo linguistico","4.3"
"Liceo scientifico","60.9"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","18.8"
"Tecnico economico","4.3"
"Tecnico tecnologico","14.5"
"Professionale","-"
"Titolo estero","8.7"
"Voto di diploma (medie, in 100-mi) ","89.3"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","58.0"
"In una provincia limitrofa","26.1"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","4.3"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","4.3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","-"
"All'estero","7.2"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","93.4"
"Altro titolo italiano","-"
"Titolo estero","6.6"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso Ateneo della laurea magistrale","80.7"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","17.5"
"Altro Ateneo del Sud-Isole","1.8"
"Altro Ateneo italiano telematico","-"
"Gruppo disciplinare del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso gruppo disciplinare della laurea magistrale","96.5"
"Altro gruppo della laurea magistrale ma stessa area disciplinare","3.5"
"Altra area disciplinare","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano) "," "
"In corso","64.9"
"1° anno fuori corso","24.6"
"2° anno fuori corso e oltre","10.5"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","104.2"
"Motivazioni molto importanti nella scelta del corso di laurea magistrale (%) "," "
"Fattori sia culturali sia professionalizzanti","73.8"
"Fattori prevalentemente culturali","11.5"
"Fattori prevalentemente professionalizzanti","14.8"
"Né gli uni né gli altri","-"
"Età all'immatricolazione (%) "," "
"Regolare o 1 anno di ritardo","79.7"
"2 o più anni di ritardo","20.3"
"Punteggio degli esami (medie, in 30-mi) ","27.2"
"Voto di laurea (medie, in 110-mi) ","105.9"
"Regolarità negli studi  "," "
"In corso","76.8"
"1° anno fuori corso","23.2"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Durata degli studi (medie, in anni) ","2.4"
"Ritardo alla laurea (medie, in anni) ","0.4"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ","0.22"
"5. CONDIZIONI DI STUDIO"
"",""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%) "," "
"Più del 50% della durata degli studi","75.4"
"Meno del 50%","24.6"
"Hanno frequentato regolarmente (%) "," "
"Più del 75% degli insegnamenti previsti","67.2"
"Tra il 50% e il 75%","18.0"
"Tra il 25% e il 50%","9.8"
"Meno del 25%","4.9"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio ","31.1"
"Hanno svolto periodi di studio all'estero durante il corso magistrale (%) ","9.8"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio","9.8"
"Con Erasmus o altro programma dell'Unione Europea","8.2"
"Altra esperienza riconosciuta dal corso di studio","1.6"
"Hanno svolto periodi di studio all’estero riconosciuti solo nel precedente corso di studio ","3.3"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","100.0"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea magistrale (%) ","11.5"
"Tirocini curriculari organizzati dal corso e svolti presso l'università","-"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università","11.5"
"Attività di lavoro successivamente riconosciute dal corso","-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti solo nel precedente corso di studio ","18.0"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)","6.0"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"",""
"Hanno avuto esperienze di lavoro (%) ","47.5"
"Lavoratori-studenti","3.3"
"Altre esperienze di lavoro con continuità a tempo pieno","9.8"
"Lavoro a tempo parziale","11.5"
"Lavoro occasionale, saltuario, stagionale","23.0"
"Nessuna esperienza di lavoro","52.5"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)","65.5"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"",""
"Sono complessivamente soddisfatti del corso di laurea magistrale (%)"," "
"Decisamente sì","42.6"
"Più sì che no","49.2"
"Più no che sì","8.2"
"Decisamente no","-"
"Sono soddisfatti dei rapporti con i docenti in generale (%)"," "
"Decisamente sì","26.2"
"Più sì che no","59.0"
"Più no che sì","13.1"
"Decisamente no","1.6"
"Sono soddisfatti dei rapporti con gli studenti (%)"," "
"Decisamente sì","57.4"
"Più sì che no","37.7"
"Più no che sì","3.3"
"Decisamente no","1.6"
"Hanno utilizzato le aule (%) ","90.2"
"Valutazione delle aule (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","36.4"
"Spesso adeguate","47.3"
"Raramente adeguate","16.4"
"Mai adeguate","-"
"Hanno utilizzato le postazioni informatiche (%) ","62.3"
"Non le hanno utilizzate nonostante fossero presenti","23.0"
"Non le hanno utilizzate in quanto non presenti","14.8"
"Valutazione delle postazioni informatiche (per 100 fruitori)"," "
"In numero adeguato","73.7"
"In numero inadeguato","26.3"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%) ","62.3"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)"," "
"Decisamente positiva","39.5"
"Abbastanza positiva","47.4"
"Abbastanza negativa","5.3"
"Decisamente negativa","7.9"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)","82.0"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","28.0"
"Spesso adeguate","54.0"
"Raramente adeguate","16.0"
"Mai adeguate","2.0"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)","70.5"
"Non li hanno utilizzati nonostante fossero presenti","26.2"
"Non li hanno utilizzati in quanto non presenti","3.3"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)"," "
"Adeguati","58.1"
"Inadeguati","41.9"
"Hanno usufruito dei servizi di orientamento allo studio post-laurea (%)","54.1"
"Sono soddisfatti dei servizi di orientamento allo studio post-laurea (per 100 fruitori)"," "
"Decisamente sì","27.3"
"Più sì che no","54.5"
"Più no che sì","15.2"
"Decisamente no","3.0"
"Hanno usufruito di iniziative formative di orientamento al lavoro (%)","54.1"
"Sono soddisfatti delle iniziative formative di orientamento al lavoro (per 100 fruitori)"," "
"Decisamente sì","27.3"
"Più sì che no","42.4"
"Più no che sì","24.2"
"Decisamente no","6.1"
"Hanno usufruito dei servizi di sostegno alla ricerca del lavoro (%)","45.9"
"Sono soddisfatti dei servizi di sostegno alla ricerca del lavoro (per 100 fruitori)"," "
"Decisamente sì","32.1"
"Più sì che no","35.7"
"Più no che sì","28.6"
"Decisamente no","3.6"
