"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","16"
"Hanno compilato il questionario","16"
"Tasso di compilazione","100.0"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","87.5"
"Donne","12.5"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","37.5"
"25-26 anni","62.5"
"27 anni e oltre","-"
"Età alla laurea (medie, in anni)","25.4"
"Cittadini stranieri (%) ","-"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","12.5"
"Altra provincia della stessa regione","62.5"
"Altra regione","25.0"
"Estero","-"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","31.3"
"Entrambi con laurea","12.5"
"Uno solo con laurea","18.8"
"Nessun genitore laureato","68.8"
"Diploma di scuola secondaria di secondo grado","56.3"
"Qualifica professionale, titolo inferiore o nessun titolo","12.5"
"Classe sociale (%) "," "
"Classe elevata","31.3"
"Classe media impiegatizia","43.8"
"Classe media autonoma","25.0"
"Classe del lavoro esecutivo","-"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","75.0"
"Liceo classico","-"
"Liceo linguistico","-"
"Liceo scientifico","75.0"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","25.0"
"Tecnico economico","12.5"
"Tecnico tecnologico","12.5"
"Professionale","-"
"Titolo estero","-"
"Voto di diploma (medie, in 100-mi) ","92.3"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","6.3"
"In una provincia limitrofa","56.3"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","12.5"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","18.8"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","6.3"
"All'estero","-"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","100.0"
"Altro titolo italiano","-"
"Titolo estero","-"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso Ateneo della laurea magistrale","100.0"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","-"
"Altro Ateneo del Sud-Isole","-"
"Altro Ateneo italiano telematico","-"
"Gruppo disciplinare del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso gruppo disciplinare della laurea magistrale","100.0"
"Altro gruppo della laurea magistrale ma stessa area disciplinare","-"
"Altra area disciplinare","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano in Atenei non telematici) "," "
"In corso","50.0"
"1° anno fuori corso","50.0"
"2° anno fuori corso e oltre","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano in Atenei telematici) "," "
"In corso","-"
"1° anno fuori corso","-"
"2° anno fuori corso e oltre","-"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","108.4"
"Motivazioni molto importanti nella scelta del corso di laurea magistrale (%) "," "
"Fattori sia culturali sia professionalizzanti","93.8"
"Fattori prevalentemente culturali","-"
"Fattori prevalentemente professionalizzanti","6.3"
"Né gli uni né gli altri","-"
"Età all'immatricolazione (%) "," "
"Regolare o 1 anno di ritardo","87.5"
"2 o più anni di ritardo","12.5"
"Punteggio degli esami (medie, in 30-mi) ","28.7"
"Voto di laurea (medie, in 110-mi) ","112.6"
"Regolarità negli studi  "," "
"In corso","56.3"
"1° anno fuori corso","43.8"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Regolarità negli studi (per 100 con titolo in Atenei telematici) "," "
"In corso","-"
"1° anno fuori corso","-"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Durata degli studi (medie, in anni) ","2.5"
"Durata degli studi (medie, in anni; per 100 con titolo in Atenei telematici) ","-"
"Ritardo alla laurea (medie, in anni) ","0.5"
"Ritardo alla laurea (medie, in anni; per 100 con titolo in Atenei telematici) ","-"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ","0.25"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso; per 100 con titolo in Atenei telematici) ","-"
"5. CONDIZIONI DI STUDIO"
"",""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%) "," "
"Più del 50% della durata degli studi","75.0"
"Meno del 50%","18.8"
"Hanno frequentato regolarmente (%) "," "
"Più del 75% degli insegnamenti previsti","87.5"
"Tra il 50% e il 75%","6.3"
"Tra il 25% e il 50%","-"
"Meno del 25%","-"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio ","18.8"
"Hanno svolto periodi di studio all'estero durante il corso magistrale (%) ","6.3"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio","6.3"
"Con Erasmus o altro programma dell'Unione Europea","-"
"Altra esperienza riconosciuta dal corso di studio","6.3"
"Hanno svolto periodi di studio all’estero riconosciuti solo nel precedente corso di studio ","-"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","-"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","100.0"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea magistrale (%) ","6.3"
"Tirocini curriculari organizzati dal corso e svolti presso l'università","-"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università","6.3"
"Attività di lavoro successivamente riconosciute dal corso","-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti solo nel precedente corso di studio ","-"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)","5.9"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"",""
"Hanno avuto esperienze di lavoro (%) ","25.0"
"Lavoratori-studenti","-"
"Altre esperienze di lavoro con continuità a tempo pieno","-"
"Lavoro a tempo parziale","-"
"Lavoro occasionale, saltuario, stagionale","25.0"
"Nessuna esperienza di lavoro","75.0"
"Hanno ritenuto difficile conciliare studio e lavoro (per 100 che hanno avuto esperienze di lavoro con continuità a tempo pieno o parziale)"," "
"Decisamente sì","-"
"Più sì che no","-"
"Più no che sì","-"
"Decisamente no","-"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)","25.0"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"",""
"Sono complessivamente soddisfatti del corso di laurea magistrale (%)"," "
"Decisamente sì","75.0"
"Più sì che no","18.8"
"Più no che sì","-"
"Decisamente no","6.3"
"Sono complessivamente soddisfatti delle attività didattiche (lezioni, esercitazioni, simulazioni, ...) (%)"," "
"Decisamente sì","50.0"
"Più sì che no","37.5"
"Più no che sì","-"
"Decisamente no","6.3"
"Sono soddisfatti dei rapporti con i docenti in generale (%)"," "
"Decisamente sì","37.5"
"Più sì che no","56.3"
"Più no che sì","-"
"Decisamente no","6.3"
"Sono soddisfatti dei rapporti con gli studenti (%)"," "
"Decisamente sì","81.3"
"Più sì che no","12.5"
"Più no che sì","-"
"Decisamente no","6.3"
"Hanno utilizzato le aule (%) ","100.0"
"Valutazione delle aule (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","50.0"
"Spesso adeguate","37.5"
"Raramente adeguate","6.3"
"Mai adeguate","6.3"
"Hanno utilizzato le postazioni informatiche (%) ","62.5"
"Non le hanno utilizzate nonostante fossero presenti","37.5"
"Non le hanno utilizzate in quanto non presenti","-"
"Valutazione delle postazioni informatiche (per 100 fruitori)"," "
"In numero adeguato","100.0"
"In numero inadeguato","-"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%) ","75.0"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)"," "
"Decisamente positiva","33.3"
"Abbastanza positiva","58.3"
"Abbastanza negativa","-"
"Decisamente negativa","8.3"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)","81.3"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","53.8"
"Spesso adeguate","38.5"
"Raramente adeguate","-"
"Mai adeguate","7.7"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)","75.0"
"Non li hanno utilizzati nonostante fossero presenti","25.0"
"Non li hanno utilizzati in quanto non presenti","-"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)"," "
"Adeguati","25.0"
"Inadeguati","75.0"
"Hanno usufruito dei servizi di orientamento allo studio post-laurea (%)","37.5"
"Sono soddisfatti dei servizi di orientamento allo studio post-laurea (per 100 fruitori)"," "
"Decisamente sì","33.3"
"Più sì che no","33.3"
"Più no che sì","16.7"
"Decisamente no","16.7"
"Hanno usufruito di iniziative formative di orientamento al lavoro (%)","37.5"
"Sono soddisfatti delle iniziative formative di orientamento al lavoro (per 100 fruitori)"," "
"Decisamente sì","16.7"
"Più sì che no","66.7"
"Più no che sì","-"
"Decisamente no","16.7"
"Hanno usufruito dei servizi di sostegno alla ricerca del lavoro (%)","43.8"
"Sono soddisfatti dei servizi di sostegno alla ricerca del lavoro (per 100 fruitori)"," "
"Decisamente sì","42.9"
"Più sì che no","42.9"
